id,name,thumbnail
UTST,Utah State,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/uud.gif
UVA,Virginia,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/vvb_2.gif
VAL,Valparaiso,http://l.yimg.com/j/assets/i/us/sp/v/ncaab/teams/83/70x70/vab.png
VAND,Vanderbilt,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/vva_1.gif
VCU,VCU,http://l.yimg.com/j/assets/i/us/sp/v/ncaab/teams/83/70x70/vaa.png
VIL,Villanova,http://l.yimg.com/j/assets/i/us/sp/v/ncaab/teams/83/70x70/vae.png
VT,Virginia Tech,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/vvd.gif
WAKE,Wake Forest,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/wwa.gif
WASH,Washington,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/was-2.jpg
WAST,Washington State,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/wwc.gif
WEKY,Western Ky.,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/wwk.gif
WIS,Wisconsin,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/wwo.gif
WIST,Wichita St.,http://l.yimg.com/j/assets/i/us/sp/v/ncaab/teams/83/70x70/wax.png
WMU,Western Mich.,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/wwl.gif
WVU,West Virginia,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/wwh.gif
WYO,Wyoming,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/wwq.gif
